PIP region,year,"Prosperity Gap, z=25/day","Prosperity Gap regional contribution to global, z=25/day","Inequality, z=ybar","Mean, $/day"
ECA,1998,5.011621475219727,.3953469097614288,2.104140996932983,10.49630832672119
ECA,1999,5.695784091949463,.4430341124534607,2.071176290512085,9.090829849243164
ECA,2000,5.395912647247314,.413690596818924,2.082440853118896,9.648233413696289
ECA,2001,5.102977275848389,.3856410086154938,2.050793170928955,10.04704284667969
ECA,2002,4.770495891571045,.3554933965206146,2.040867567062378,10.69525909423828
ECA,2003,4.740646362304688,.3487667143344879,2.150472164154053,11.34060668945313
ECA,2004,4.345544815063477,.3158279955387115,2.149669647216797,12.36709022521973
ECA,2005,4.156899929046631,.2985459268093109,2.187811136245728,13.15770816802979
ECA,2006,3.85080361366272,.2734133303165436,2.157551765441895,14.00715255737305
ECA,2007,3.550652980804443,.2493549585342407,2.176664352416992,15.32580375671387
ECA,2008,3.244995594024658,.2256351113319397,2.176149368286133,16.76542663574219
ECA,2009,3.212496519088745,.2214020490646362,2.088748455047607,16.25486946105957
ECA,2010,3.124636650085449,.2135298550128937,2.114695072174072,16.91952705383301
ECA,2011,3.008601903915405,.2039838880300522,2.103580236434937,17.47971534729004
ECA,2012,2.938873291015625,.1976388543844223,2.122012853622437,18.05124473571777
ECA,2013,2.807859182357788,.1874539256095886,2.089391708374023,18.60306739807129
ECA,2014,2.839797735214233,.1883150935173035,2.132536649703979,18.77366638183594
ECA,2015,2.818446397781372,.1857088655233383,2.04013991355896,18.09631729125977
ECA,2016,2.745807886123657,.1797093152999878,2.003828525543213,18.24443435668945
ECA,2017,2.677225112915039,.1739233583211899,2.020490646362305,18.86739730834961
ECA,2018,2.55357551574707,.1645632535219193,1.96525502204895,19.2402286529541
ECA,2019,2.490375518798828,.1592723727226257,1.998488306999207,20.06211853027344
LAC,1990,7.495013236999512,.6191838979721069,3.218610525131226,10.73583984375
LAC,1991,7.388258934020996,.611528754234314,3.111067056655884,10.52706432342529
LAC,1992,7.414973258972168,.614919900894165,3.055070400238037,10.30034160614014
LAC,1993,7.342540740966797,.6101245284080505,3.238028764724731,11.02489185333252
LAC,1994,6.982308387756348,.5813975930213928,3.24381160736084,11.61439609527588
LAC,1995,6.956575870513916,.5804381370544434,3.276271820068359,11.77400970458984
LAC,1996,7.468231201171875,.6242076754570007,3.460812330245972,11.58511352539063
